Nom,Prénoms,Date_de_naissance,Ville_de_naissance,Département_de_naissance,Pays,Régiment,Grade,Date_du_décès,Département_de_décès,Lieu_du_décès,Pays_de_décès,nomDptDécès
ALLIOS,François Jean,1892-01-31,Toulouse,31,France,143e Infanterie,Sergent,07/11/1914,50,Cherbourg,France,Manche 
ALLIX,Georges,1883-12-21,Cannes,6,France,42e Infanterie,Lieutenant,19/08/1914,68,Dornach,France,Haut-Rhin 
ALOS,Joseph,1890-07-14,Toulouse,31,France,24e Infanterie Coloniale,Soldat,07/09/1918,,,Germany,
ALZIEU,Jules,1898-08-16,Toulouse,31,France,217e Artillerie,Soldat,27/07/1918,,,,
AMARDEILH,Vincent Marius,1884-01-19,Serres-sur-Arget,9,France,130e Infanterie,Soldat,18/07/1918,51,La Veuve,France,Marne 
AMARDEILH,Paul,1894-04-13,Saint-Pierre-de-Rivière,9,France,83e Infanterie,Caporal,17/04/1917,51,Beine-Nauroy,France,Marne 
AMAT,Jean,1891-06-21,Toulouse,31,France,6e Chasseurs d'Afrique,Cavalier,03/10/1915,,,Tunisia,
AMAT,Élie Édouard,1892-04-18,Montpellier,34,France,248e Artillerie,Brigadier,09/06/1918,60,Cuvilly,France,Oise 
AMBIELLE,Albert,1898-03-11,Tarascon-sur-Ariège,9,France,14e Infanterie,Sergent,31/05/1918,2,Blanzy-les-Fismes,France,Aisne 
AMEGLIO,Philippe Pierre,1893-01-18,Toulouse,31,France,142e Infanterie,Soldat,18/11/1917,51,Pontfaverger-Moronvilliers,France,Marne 
AMEN,Raoul Moïse,1896-10-26,Nissan-Lez-Enserune,34,France,27e Infanterie,Soldat,23/06/1916,55,Dugny-sur-Meuse,France,Meuse 
AMIEL,André,1881-11-06,Toulouse,31,France,14e Infanterie,Soldat,23/12/1914,51,Châlons-en-Champagne,France,Marne 
AMIEL,Auguste Albert,1874-11-20,Mercus-Garrabet,9,France,214e Infanterie,Soldat,23/02/1916,55,Montzeville,France,Meuse 
AMIEL,Henri,1894-08-29,Toulouse,31,France,11e Infanterie,Soldat,09/05/1915,62,Roclincourt,France,Pas-de-Calais 
AMIEL,Étienne Marius,1886-09-19,Montauban,82,France,296e Infanterie,Soldat,16/10/1914,62,Vermelles,France,Pas-de-Calais 
AMIEL,Jean,1888-09-07,Saint-Simon,31,France,14e Infanterie,Sergent major,31/08/1914,51,Châlons-en-Champagne,France,Marne 
AMIEL,Alexis,1889-04-29,Toulouse,31,France,53e Infanterie,Soldat,05/11/1914,,Ypres,Belgium,
AMIEL,Jean,1896-01-28,Toulouse,31,France,1er Infanterie,Soldat,17/04/1917,2,Craonne,France,Aisne 
AMIEL,François,1891-11-30,Tredos,,Spain,64e Artillerie,Soldat,15/09/1918,78,Le Vésinet,France,Yvelines 
AMIEL,Sylvain Bertrand,1894-07-12,Gourdan-Polignan,31,France,143e Infanterie,Soldat,20/11/1914,,Heuvelland,Belgium,
AMILHAT,Émile,1895-12-09,Saint-Ybars,9,France,142e Infanterie,Soldat,25/09/1915,51,Aubérive,France,Marne 
AMILHAU,André Gérard,1882-10-09,Auriac-sur-Vendinelle,31,France,2e Marche du 2e Étranger,Soldat,25/10/1914,51,Verzenay,France,Marne 
AMILLASTRE,Joseph,1877-08-21,Alos,9,France,28e Infanterie,Soldat,24/09/1914,55,Saint-Remy-la-Calonne,France,Meuse 
AMOUROUX,Julien,1887-03-28,Ausseing,31,France,82e Artillerie lourde,Soldat,02/11/1917,2,Chavignon,France,Aisne 
ANASSY,Joseph,1895-07-21,Nîmes,30,France,2e Zouave de Marche,Soldat,10/12/1917,55,Les Souhesmes-Rampont,France,Meuse 
ANDRAU,Edmond Isidore,1888-12-05,Villefranche-de-Lauragais,31,France,2e Groupe Aviation,Soldat,20/07/1917,55,Nubécourt,France,Meuse 
ANDRAU,Éloi Marius,1896-03-29,Villefranche-de-Lauragais,31,France,403e Infanterie,Soldat,17/04/1918,64,Pau,France,Pyrénées-Atlantiques 
ANDRAU,Jean Marie Pascal,1888-01-12,Toulouse,31,France,83e Infanterie,Soldat,20/01/1915,81,Albi,France,Tarn 
ANDRAU,Joseph Marie,1885-01-05,Toulouse,31,France,143e Infanterie,Soldat,14/06/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
ANDRE,Célestin Casimir,1888-10-11,Toulouse,31,France,5e Infanterie,Caporal,01/10/1914,51,Courcelles-Sapicourt,France,Marne 
ANDRE,Louis Émile,1891-10-05,Toulouse,31,France,4e Zouaves,Soldat,14/06/1915,88,Vittel,France,Vosges 
ANDRE,Georges Raoul,1898-12-07,Muret,31,France,129e Infanterie,Soldat,02/09/1918,2,Crouy,France,Aisne 
ANDRÉ (d'),Henri Raoul,1875-05-30,Saint-Aubans,26,France,281e Infanterie,Sergent,02/10/1915,62,Neuville-Saint-Vaast,France,Pas-de-Calais 
ANDREAU,Germain Paul,1886-08-29,Toulouse,31,France,143e Infanterie,Soldat,22/06/1915,51,Somme-Suippe,France,Marne 
ANDRIES,Pierre Albert,1885-01-23,Nîmes,30,France,2e Bataillon de tirailleurs,Capitaine,27/04/1915,,Ypres,Belgium,
ANDRIEU,Jean,1876-10-29,Fronton,31,France,16e Infanterie,Soldat,30/03/1916,55,Fleury-devant-Douaumont,France,Meuse 
ANDRIEU,Marie Alphonse Pierre,1868-08-01,Roquefort-du-Corbières,11,France,80e Infanterie,Adjudant Chef,15/11/1914,,Ypres,Belgium,
ANE,Isidore,1894-05-22,Toulouse,31,France,24e Infanterie Coloniale,Soldat,30/06/1917,2,Agnicourt-et-Séchelles,France,Aisne 
ANGLADE,Guillaume,1877-09-22,Toulouse,31,France,207e Infanterie,Soldat,01/01/1915,51,Wargemoulin-Hurlus,France,Marne 
ANGLADE,Jean Marie Marius,1887-06-17,Toulouse,31,France,296e Infanterie,Soldat,21/05/1916,55,Esne-en-Argonne,France,Meuse 
ANGLADE,François Jean Louis Henri,1897-01-31,Toulouse,31,France,131e Infanterie,Soldat,16/04/1918,8,Sedan,France,Ardennes 
ANGLADE,Élie Jean,1896-01-31,Toulouse,31,France,3e Infanterie,Soldat,26/02/1916,,,,
ANGLES,Étienne Jean Baptiste,1887-12-19,Toulouse,31,France,1er Infanterie Coloniale du Morocco,Caporal,22/07/1916,,,,
ANGLES,Georges Joseph Louis,1891-05-15,Toulouse,31,France,24e Infanterie Coloniale,Soldat 1re classe,08/09/1914,51,Blaise-sous-Arzillières,France,Marne 
ANIORT,Étienne Pierre Faustin Marius,1881-02-15,Roquefort-de-Sault,11,France,240e Infanterie,Soldat,02/07/1916,55,Douaumont,France,Meuse 
ANOUILH,Louis Joseph,1895-01-11,Oran,,Morocco,16e Infanterie,Soldat,26/09/1915,51,Sommepy-Tahure,France,Marne 
ANTAGNAGUE,Jean Martial,1886-05-03,Toulouse,31,France,259e Infanterie,Sergent,01/09/1914,55,Consenvoye,France,Meuse 
ANTIC,Jacques,1889-05-31,Toulouse,31,France,20e Infanterie,Soldat,27/07/1916,55,Verdun,France,Meuse 
ANTONETTI,Louis Joseph Paris,1890-09-07,Toulouse,31,France,416e Infanterie,Capitaine,28/05/1918,51,Arcis-le-Ponsart,France,Marne 
ANTONY,Georges François Firmin,1897-11-12,Toulouse,31,France,34e Artillerie campagne,Maître pointeur,31/08/1916,80,Lihons,France,Somme 
ANTONY,Laurent Marius,1895-05-10,Toulouse,31,France,172e Infanterie,Soldat,19/09/1918,2,Laffaux,France,Aisne 
APHATIE,Baptiste,1893-04-20,Gotein-Libarrenx,64,France,80e Infanterie,Sergent,30/10/1916,51,Sommepy-Tahure,France,Marne 
ARAGNON,Gabriel Jean Émile,1892-03-07,Toulouse,31,France,Infanterie Coloniale du Morocco,Soldat,06/05/1917,2,Bouconville-Vauclair,France,Aisne 
ARAGNON,Louis Joseph,1884-03-19,Toulouse,31,France,44e Infanterie Coloniale,Soldat,21/11/1915,33,Braux-Sainte-Cohière,France,Gironde 
ARAGON,Jean Bertrand,1879-02-25,Toulouse,31,France,15e Section des commis et ouvriers militaires d'administration,Soldat,22/09/1918,83,Saint-Raphaël,France,Var 
ARAGON,Jean Simon,1882-04-02,Toulouse,31,France,22e Section des commis et ouvriers militaires d'administration,Soldat,16/02/1919,92,Meudon,France,Hauts-de-Seine 
ARAGON,Jean Pierre Georges,1897-06-25,Saint-Girons,9,France,4e Infanterie,Soldat,10/10/1918,51,Épernay,France,Marne 
ARAGON,Louis Marius,1882-11-08,Ségoufielle,32,France,344e Infanterie,Soldat,20/07/1917,2,,France,Aisne 
ARAGOU,Jules,1882-07-31,Montauban,82,France,83e Infanterie,Adjudant,14/09/1914,51,Souain-Perthes-les Hurlus,France,Marne 
ARAILH (d'),André Gérard Jules Marie Michel,1888-05-03,Carcassonne,11,France,14e Infanterie,Soldat,28/08/1914,,Anloy,Belgium,
ARAM (d'),Bernard Henri Marie,1881-04-10,Auch,32,France,59e Infanterie,Capitaine,11/05/1915,62,Roclincourt,France,Pas-de-Calais 
ARAUD,Jean,1897-02-03,Toulouse,31,France,151e Infanterie,Soldat,17/04/1917,51,Cormicy,France,Marne 
ARBOLA,Léonce Paul,1897-03-07,Narbonne,11,France,159e Infanterie,Sous-Lieutenant,23/07/1918,51,Saint-Euphraise-et-Clairizet,France,Marne 
ARBOULAT,Adolphe Marie,1894-05-01,Toulouse,31,France,54e Infanterie,Caporal,20/06/1916,55,Damloup,France,Meuse 
ARCAMBAL,Mathurin,1869-02-18,Malemort,19,France,1er Bataillon Chasseur Colonial du Morocco,Lieutenant,30/08/1914,8,Bertoncourt,France,Ardennes 
ARCENS,Paul Louis,1885-12-04,Toulouse,31,France,14e Infanterie,Soldat,01/06/1918,2,Saint-Rémy-Blanzy,France,Aisne 
ARCENS,Élie Paul,1893-11-29,Toulouse,31,France,3e Groupe Artillerie de campagne d'Afrique,Soldat,19/05/1916,55,Avocourt,France,Meuse 
ARIAS,Jean Marie Baptiste,1896-01-16,Bagnères-de-Luchon,31,France,1er de Marche d'Afrique,Soldat,14/07/1915,,,,
ARIBAUD,Jacques Jean Germain,1885-06-25,Caraman,31,France,280e Infanterie,Soldat,15/10/1914,62,Vermelles,France,Pas-de-Calais 
ARIBAUT,Julien Hippolyte,1895-03-04,Toulouse,31,France,20e Infanterie,Sous-Lieutenant,24/03/1915,51,Souain-Perthes-les Hurlus,France,Marne 
ARIES,Ernest,1889-05-31,Toulouse,31,France,108e Artillerie,Maréchal des Logis,12/10/1918,44,Nantes,France,Loire-Atlantique 
ARMAINGAUD,Henri Jean,1894-03-27,Toulouse,31,France,4e Bataillon de Chasseurs à Pied,Soldat,26/04/1915,,Ypres,Belgium,
ARMAND,Jean François,1891-09-07,Toulouse,31,France,15e Infanterie,Adjudant,02/10/1915,51,Valmy,France,Marne 
ARMENGAUD,Jean Marie,1882-04-07,Toulouse,31,France,44e Infanterie Coloniale,Caporal,17/02/1915,55,Boureuilles,France,Meuse 
ARNAL,Louis Baptiste Jean,1888-08-06,Brice,19,France,14e Infanterie,Caporal,22/08/1914,,Anloy,Belgium,
ARNAUD,Jean,1888-06-06,Toulouse,31,France,14e Infanterie,Soldat,22/08/1914,,Anloy,Belgium,
ARNAUD,Jean,1893-08-06,Labarthe-sur-Lèze,31,France,80e Infanterie,Caporal,18/08/1915,12,Millau,France,Aveyron 
ARNAUD,François Louis Barthélémy,1887-06-17,Balesta,9,France,7e Infanterie,Sergent,06/05/1916,51,Vienne-le-Château,France,Marne 
ARNAUD,Paul,1888-05-06,Toulouse,31,France,53e Infanterie,Soldat,03/10/1914,54,Nancy,France,Meurthe-et-Moselle 
ARNAUNE,Paul Antoine Gabriel,1884-07-02,Toulouse,31,France,168e Infanterie,Soldat,04/08/1918,60,Attichy,France,Oise 
ARNICHAND,Louis Amélie Germain,1868-06-01,Toulouse,31,France,125e Infanterie,Capitaine,24/08/1914,54,Réméréville,France,Meurthe-et-Moselle 
ARNOULD,Jean Nicolas,1884-01-19,Somme-Vesle,51,France,160e Infanterie,Soldat,13/07/1916,55,Contrisson,France,Meuse 
ARQUIE,Pierre,1898-08-21,Verfeil,31,France,168e Infanterie,Soldat,31/10/1918,,Zulte,Belgium,
ARRIBAT,Marcel Louis Pierre,1884-01-16,Azille,11,France,2e Génie,Sapeur,23/04/1916,55,Avocourt,France,Meuse 
ARRIBAT,Henri Marius,1886-02-19,Salles-sur-l'Hers,11,France,42e Infanterie Coloniale,Soldat,07/03/1915,55,Lavoye,France,Meuse 
ARTAUD (d'),Roger Marie Charles,1892-11-25,Poxiora,11,France,143e Infanterie,Caporal fourrier,14/12/1914,,Heuvelland,Belgium,
ARTIGUE,Guillaume Louis,1880-07-21,Saint-Paul-d'Oueil,31,France,153e infanterie,Soldat,29/10/1914,62,Couin,France,Pas-de-Calais 
ARTIGUE,Joseph Louis,1892-09-04,Toulouse,31,France,14e Infanterie,Soldat,08/09/1914,51,Courdemanges,France,Marne 
ARTIS,André Louis Régis,1892-02-04,Largentière,7,France,40e Infanterie,Sous-Lieutenant,20/08/1914,57,Dieuze,France,Moselle 
ARTIS,Louis Gustave,1862-11-18,Saint-Afrique,12,France,15e Légion de Gendarmerie,Chef de brigade,29/05/1917,13,Marseille,France,Bouches-du-Rhône 
ASPE,Pierre Émile,1896-07-22,Toulouse,31,France,30e Infanterie,Soldat,23/10/1917,2,Allemant,France,Aisne 
ASQUIE,Pierre Sébastien,1897-10-05,Toulouse,31,France,57e Artillerie,Soldat,29/03/1917,31,Toulouse,France,Haute-Garonne 
ASTIES,Louis Émile,1896-07-22,Toulouse,31,France,8e Infanterie,Soldat,16/02/1917,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
ASTRIC,Jean François,1872-03-08,Caragoudes,31,France,132e Infanterie territoriale,Soldat,15/11/1916,80,Bray-sur-Somme,France,Somme 
ASTRIE,Jean François Pierre,1885-09-16,Foix,9,France,142e Infanterie,Caporal,31/03/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
ASTRUC,Louis Pierre Jean Joseph,1886-08-31,Toulouse,31,France,97e Infanterie,Soldat,28/06/1915,62,Gauchin-Légal,France,Pas-de-Calais 
ASTRUC,Michel Marc,1892-11-23,Toulouse,31,France,417e Infanterie,Adjudant,20/06/1916,80,,France,Somme 
ASTRUC,Gustave Henri,1894-06-13,Azille,11,France,44e Bataillon de chasseur à pied,Lieutenant,03/02/1916,62,Neuville-Saint-Vaast,France,Pas-de-Calais 
ASTRUGUE,André Antonin Jean,1891-10-13,Toulouse,31,France,152e Infanterie,Sergent,05/10/1918,,,Belgium,
ATTANE,Jean Marie,1884-04-30,Bagert,9,France,283e Infanterie,Soldat,24/08/1914,55,Éton,France,Meuse 
AUBA,Bernard Joseph,1884-04-27,Rieux-Volvestres,31,France,214e Infanterie,Caporal fourrier,24/08/1914,55,Senon,France,Meuse 
AUBINEL,Joseph Louis Ange,1889-06-09,Toulouse,31,France,14e Infanterie,Soldat,27/08/1914,8,Raucourt-et-Flaba,France,Ardennes 
AUDEBAT,François,1886-10-10,Lavaur,81,France,220e Infanterie,Soldat,01/08/1916,51,Bétheny,France,Marne 
AUDEBES,Marius,1883-09-02,Bègles,33,France,14e Infanterie,Sous-Lieutenant,20/12/1914,51,Souain-Perthes-les Hurlus,France,Marne 
AUDEBRAN,François,1882-06-09,Sainte-Colombe,11,France,4e Coloniale,Soldat,04/02/1915,51,Massiges,France,Marne 
AUDOUBERT,Marius Gaston,1885-08-25,Toulouse,31,France,5e Bataillon Marche Infanterie légère Afrique,Soldat,27/03/1919,31,Toulouse,France,Haute-Garonne 
AUDOUY,Georges Pierre,1893-06-03,Leran,9,France,8e Génie,Soldat,02/01/1919,90,Belfort,France,Territoire de Belfort 
AUDRAN,Jean Jacques,1883-10-20,Toulouse,31,France,14e Infanterie,Sergent,16/06/1915,62,Arras,France,Pas-de-Calais 
AUDRAN,Noël Amédée,1890-06-21,Toulouse,31,France,9e Infanterie,Soldat,18/05/1915,31,Toulouse,France,Haute-Garonne 
AUDRAN,Paul Marius,1893-09-13,Bourg-saint-Bernard,31,France,83e Infanterie,Soldat,16/06/1915,62,Arras,France,Pas-de-Calais 
AUGE,Antonin Germain,1893-11-26,Toulouse,31,France,7e Zouaves,Sergent,04/01/1915,62,Roclincourt,France,Pas-de-Calais 
AUGE,Jean Paul,1890-11-24,Carcassonne,11,France,9e Infanterie,Tambour,08/09/1914,51,Châtelraould-Saint-Louvent,France,Marne 
AUGE,Casimir Honoré,1888-05-13,Pampelonne,81,France,53e Infanterie,Soldat,19/09/1914,54,Gerbérviller,France,Meurthe-et-Moselle 
AUGE,Arthur Joseph Louis,1882-01-06,Sainte-Croix-Volvestre,9,France,276e Infanterie,Capitaine,16/03/1916,51,Romain,France,Marne 
AUGUSTE,Paul Jules,1889-07-06,Toulouse,31,France,80e Infanterie,Caporal,13/11/1915,51,Vitry-le-François,France,Marne 
AULET,Jean Alexandre,1895-06-13,Toulouse,31,France,28e Dragons,Soldat,27/03/1918,80,Ételfay,France,Somme 
AURELLE,François,1883-03-23,Toulouse,31,France,256e Infanterie,Caporal,08/10/1918,8,Semide,France,Ardennes 
AURET,Jules Jean,1889-05-28,Toulouse,31,France,7e Infanterie,Soldat,08/11/1918,,Fez,Morocco,
AURET,Aimé Jacques,1880-02-27,Toulouse,31,France,144e Infanterie,Soldat,16/04/1917,2,Oulches-la-Vallée-Foulon,France,Aisne 
AURIGNAC,Albert,1887-04-11,La Havane,,Cuba,214e Infanterie,Soldat,30/09/1914,55,Lacroix-sur-Meuse,France,Meuse 
AURIOL,François Jean Marie,1880-10-24,Toulouse,31,France,267e Infanterie,Sous-Lieutenant,03/09/1917,55,Verdun,France,Meuse 
AURIOL,Jacques Charles Joseph,1896-09-23,Bernay,27,France,3e Chasseurs Afrique,Soldat,01/10/1915,51,Virginy,France,Marne 
AURIOL,Rozies,1870-05-09,Toulouse,31,France,12e Section des commis et ouvriers militaires d'administration,Soldat,11/04/1917,32,Barran,France,Gers 
AURIOL,Jean Étienne,1890-07-02,Toulouse,31,France,9e Infanterie,Sergent,05/03/1915,51,Souain-Perthes-les Hurlus,France,Marne 
AURIOL,Léon Clément,1890-11-20,Toulouse,31,France,14e Infanterie,Soldat,08/09/1915,51,Vienne-le-Château,France,Marne 
AURIOL,Marcelin,1888-03-31,Paulhac,31,France,83e Infanterie,Soldat,11/09/1916,51,Mourmelon-le-Petit,France,Marne 
AUROUX,Eugène,1879-07-17,Aguts,81,France,17e Section des commis et ouvriers militaires d'administration,Soldat,08/04/1915,58,Nevers,France,Nièvre 
AUSSAL,François Antonin,1879-01-04,Balma,31,France,11e Infanterie,Soldat,16/12/1914,51,Wargemoulin-Hurlus,France,Marne 
AUSSAL,Jean Marie,1895-04-05,Balma,31,France,142e Infanterie,Caporal,25/09/1915,51,Aubérive,France,Marne 
AUTHIE,Victor Augustin,1882-04-12,Toulouse,21,France,96e Infanterie,Soldat,08/10/1914,54,Bernécourt,France,Meurthe-et-Moselle 
AUTHIE,Auguste Philippe,1892-09-30,Treiziers,11,France,59e Infanterie,Soldat,22/08/1914,,Bertrix,Belgium,
AUTOFAGE,Honoré Lucien,1884-07-07,Treziers,11,France,59e Infanterie,Soldat,22/08/1914,2,Berry-au-Bac,France,Aisne 
AUZEMBERGER,Louis,1881-07-17,Toulouse,31,France,53e Infanterie,Soldat,13/09/1915,51,Pontfaverger-Moronvilliers,France,Marne 
AUZET,Marius Émile,1889-06-03,Bérat,31,France,11e Infanterie,Soldat,22/08/1914,,Bertrix,Belgium,
AVERADERE,Henri,1892-05-11,Bérat,31,France,143e Infanterie,Caporal,09/03/1915,51,Souain-Perthes-les Hurlus,France,Marne 
AVIGNON,Joseph,1893-09-19,Toulouse,31,France,7e Zouaves de Marche,Soldat,29/05/1916,,Ypres,Belgium,
AYGUEBELLES,Georges Marius,1892-07-04,Toulouse,31,France,114e Infanterie,Caporal fourrier,29/09/1917,2,Essigny-le-Grand,France,Aisne 
AYME,Lucien Jean Joseph,1886-04-10,Toulouse,31,France,Infanterie Coloniale,Soldat,27/02/1917,2,Château-Thierry,France,Aisne 
AYRAL,Jean,1885-04-14,Gauré,31,France,215e Infanterie,Soldat,12/09/1918,31,Toulouse,France,Haute-Garonne 
AYRAL,Marius Armand,1893-02-18,Toulouse,31,France,276e Artillerie,Canonnier conducteur,08/04/1918,60,Cempuis,France,Oise 
AYRAL,Marius Sylvain,1897-06-25,Quint-Fonsegrives,31,France,219e Infanterie,Caporal,24/07/1917,2,,France,Aisne 
AZAIS,André Émile Roger,1897-07-31,Bordeaux,33,France,322e Infanterie,Aspirant,10/06/1915,51,Minaucourt-Le-Mesnil-les-Hurlus,France,Marne 
AZAM,Jean Baptiste,1873-10-05,Toulouse,31,France,205e Infanterie,Sous-Lieutenant,30/09/1916,27,Évreux,France,Eure 
AZAM,Pierre Edmond,1880-11-20,Toulouse,31,France,24e Infanterie Coloniale,Soldat,04/08/1916,80,Herbécourt,France,Somme 
AZAM,Alexandre Émile,1864-11-20,Valdurenque,81,France,17e Légion de Gendarmerie,Gendarme,15/02/1918,31,Toulouse,France,Haute-Garonne 
AZAM,Joseph Louis,1894-11-02,Toulouse,31,France,71e Infanterie,Lieutenant,20/07/1918,2,Le Plessier-Huleu,France,Aisne 
AZAM,Robert,1886-08-23,,,France,44e Infanterie Coloniale,Caporal,15/12/1914,55,Bar-le-Duc,France,Meuse 
AZEMA,Alexandre Marius,1886-12-05,Toulouse,31,France,115e Infanterie,Sous-Lieutenant,17/12/1914,80,Maricourt,France,Somme 
AZEMA,François,1895-08-12,Toulouse,31,France,3e Zouaves,Sergent,17/04/1917,51,Pontfaverger-Moronvilliers,France,Marne 
AZEMA,Jean Jules,1874-05-14,Toulouse,31,France,103e Infanterie,Soldat,31/05/1918,2,Villers-Cotterêts,France,Aisne 
AZEMA,François,1886-01-03,Gauré,31,France,118e Artillerie Lourde,Soldat,23/08/1916,51,Sainte-Menehould,France,Marne 
AZEMA,Pierre,1879-07-10,Sorèze,81,France,143e Infanterie,Soldat,15/12/1914,,Heuvelland,Belgium,
AZEMA,Jean Marie,1889-11-05,Gauré,31,France,7e Infanterie,Soldat,22/08/1914,,Bertrix,Belgium,
AZEMA,René Jacques Émile,1890-12-11,Lavaur,81,France,207e Infanterie,Soldat,31/05/1918,62,Tigny-Noyelle,France,Pas-de-Calais 
AZEMA,dit « Jean Rigobert »,1882-01-04,Toulouse,31,France,14e Infanterie,Soldat,19/03/1915,51,Souain-Perthes-les Hurlus,France,Marne 
